"Subnet","OverlappingSubnet","SubnetSite","OverlappingSite","SiteCollision","DCInSite"
"10.0.0.0","10.78.0.0","ISD","CAM-Guatemala-HO","True","True"
"10.0.0.0","10.157.0.0","ISD","MX-S07471","True","True"
"10.0.0.0","10.156.184.0","ISD","UK-S07459","True","True"
"10.0.0.0","10.14.4.0","ISD","CN-HOMEOFFICE","True","True"
"10.0.0.0","10.212.40.0","ISD","US-S00678","True","True"
"10.0.0.0","10.149.32.0","ISD","IN-S07401","True","True"
"10.0.0.0","10.155.144.0","ISD","US-S07021","True","True"
"10.0.0.0","10.68.16.0","ISD","US-S00708","True","True"
"10.0.0.0","10.192.56.0","ISD","US-S00681","True","True"
"10.0.0.0","10.14.2.0","ISD","CN-HOMEOFFICE","True","True"
"10.0.0.0","10.165.21.128","ISD","US-S09309","True","True"
"10.0.0.0","10.147.104.0","ISD","US-S07078","True","True"
"10.0.0.0","10.78.0.0","ISD","CAM-Guatemala-HO","True","True"
"10.0.0.0","10.165.20.128","ISD","US-S09309","True","True"
"10.0.0.0","10.199.76.0","ISD","US-S00751","True","True"
"10.0.0.0","10.211.140.0","ISD","US-S00643","True","True"
"10.0.0.0","10.197.220.0","ISD","US-S00730","True","True"
"10.0.0.0","10.218.164.0","ISD","US-S00664","True","True"
"10.0.0.0","10.220.128.0","ISD","US-S00674","True","True"
"10.0.0.0","10.201.2.0","ISD","US-S00666","True","True"
"10.0.0.0","10.199.182.0","ISD","US-S00650","True","True"
"10.0.0.0","10.220.132.0","ISD","US-S00733","True","True"
"10.0.0.0","10.171.136.0","ISD","JP-S07485","True","True"
"10.0.0.0","10.212.178.0","ISD","US-S00695","True","True"
"10.0.0.0","10.212.106.0","ISD","US-S00653","True","True"
"10.0.0.0","10.157.16.0","ISD","MX-S07471","True","True"
"10.0.0.0","10.213.170.0","ISD","US-S00645","True","True"
"10.0.0.0","10.220.150.0","ISD","US-S00559","True","True"
"10.0.0.0","10.220.164.0","ISD","US-S00702","True","True"
"10.0.0.0","10.222.208.0","ISD","US-S00641","True","True"
"10.0.0.0","10.146.240.0","ISD","US-S07048","True","True"
"10.0.0.0","10.194.116.0","ISD","US-S00400","True","True"
"10.0.0.0","10.215.78.0","ISD","US-S00518","True","True"
"10.0.0.0","10.155.248.0","ISD","US-S07077","True","True"
"10.0.0.0","10.197.196.0","ISD","US-S00580","True","True"
"10.0.0.0","10.213.90.0","ISD","US-S00758","True","True"
"10.0.0.0","10.196.152.0","ISD","US-S00677","True","True"
"10.0.0.0","10.0.254.189","ISD","CN-S07466","True","True"
"10.0.0.0","10.212.196.0","ISD","US-S00508","True","True"
"10.0.0.0","10.222.8.0","ISD","US-S00584","True","True"
"10.0.0.0","10.202.8.0","ISD","US-S00554","True","True"
"10.0.0.0","10.165.21.0","ISD","US-S09309","True","True"
"10.0.0.0","10.79.0.0","ISD","CAM-Guatemala-HO","True","True"
"10.0.0.0","10.2.36.0","ISD","ISD","False","True"
"10.0.0.0","10.197.210.0","ISD","US-S00700","True","True"
"10.0.0.0","10.215.82.0","ISD","US-S00668","True","True"
"10.0.0.0","10.196.160.0","ISD","US-S00390","True","True"
"10.0.0.0","10.222.10.0","ISD","US-S00725","True","True"
"10.0.0.0","10.213.4.0","ISD","US-S00365","True","True"
"10.0.0.0","10.14.10.0","ISD","CN-HOMEOFFICE","True","True"
"10.0.0.0","10.198.46.0","ISD","US-S00387","True","True"
